Household_Size,Seasonal_Index,Garden_Area,Income_Level,Bathrooms,Appliances_Count,Rainfall,Temperature,Water_Price_Index,Daily_Liters_Used
6.0,1.09,36.0,29045.0,3.0,11.0,190.82,17.57,2.07,388.0
5.0,0.97,67.0,21299.0,2.0,23.0,47.36,24.93,1.59,909.0
7.0,1.57,43.0,,1.0,,110.43,19.76,1.58,773.0
5.0,1.59,46.0,49553.0,1.0,15.0,61.54,24.8,0.64,775.0
5.0,1.46,90.0,49831.0,1.0,10.0,185.26,14.25,1.35,486.0
2.0,1.05,76.0,77913.0,1.0,24.0,126.91,36.86,1.33,599.0
6.0,1.07,126.0,131190.0,2.0,24.0,71.49,18.54,2.35,884.0
6.0,1.25,122.0,107227.0,1.0,15.0,50.46,22.63,2.43,1040.0
7.0,,70.0,131943.0,3.0,7.0,95.06,36.94,1.9,838.0
6.0,1.38,23.0,145849.0,1.0,18.0,179.51,12.22,1.12,388.0
1.0,1.54,117.0,96106.0,4.0,21.0,157.3,13.83,1.57,278.0
1.0,1.1,149.0,107029.0,3.0,22.0,190.29,27.24,0.66,361.0
3.0,0.82,113.0,95900.0,2.0,20.0,42.19,35.84,1.97,981.0
2.0,0.95,47.0,132272.0,1.0,22.0,137.47,19.79,,256.0
1.0,1.52,111.0,125466.0,3.0,22.0,4.9,10.77,1.31,832.0
1.0,0.86,128.0,20731.0,2.0,6.0,155.44,14.66,2.21,132.0
6.0,1.14,27.0,43331.0,2.0,18.0,154.69,18.55,2.48,541.0
6.0,1.26,6.0,138128.0,1.0,21.0,0.32,24.34,2.08,1110.0
5.0,1.17,87.0,136582.0,4.0,9.0,104.04,19.34,0.76,710.0
7.0,1.3,48.0,90990.0,2.0,22.0,87.05,19.51,1.55,836.0
4.0,1.46,63.0,61984.0,3.0,24.0,105.35,39.27,1.42,863.0
4.0,0.84,88.0,142231.0,1.0,13.0,,28.0,2.28,934.0
1.0,1.38,71.0,43991.0,3.0,19.0,196.99,32.5,2.49,263.0
6.0,0.75,146.0,35511.0,1.0,,25.09,10.55,0.53,2062.0
6.0,1.58,65.0,88416.0,2.0,21.0,8.27,31.95,0.93,1257.0
4.0,1.26,18.0,,1.0,23.0,131.95,10.03,1.55,177.0
